filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
greek437.jpg	467	255	64.1895	0	60.0689	0	25.4848
greek441.jpg	468	255	60.4368	0	10.9124	0	59.3075
greek444.jpg	469	255	44.9069	0	33.8529	0	25.6268
greek445.jpg	470	255	53.5897	0	46.8852	0	22.3931
greek446.jpg	471	255	55.7267	0	60.3729	0	24.4731
greek447.jpg	472	255	51.5943	0	55.4662	0	24.2143
greek45.jpg	473	255	62.4765	0	42.1264	0	21.471
greek46.jpg	474	255	63.4711	0	42.266	0	24.497
greek460.jpg	475	255	59.769	0	49.5943	0	42.7579
greek461.jpg	476	255	52.202	0	73.1388	0	22.2424
greek463.jpg	477	67	92.4134	46	58.5135	12	22.6846
greek47.jpg	478	255	53.3758	0	52.7403	0	24.2785
greek48.jpg	479	255	56.8109	0	50.0412	0	22.7311
greek49.jpg	480	255	56.8883	0	38.5703	0	22.155
greek5.jpg	481	255	24.6768	0	31.8192	0	25.1852
greek50.jpg	482	255	42.2206	0	31.2045	0	23.0371
greek504.jpg	483	0	73.3566	0	63.9687	0	29.1687
greek507.jpg	484	125	85.0076	20	29.333	3	46.0964
greek508.jpg	485	0	70.7207	0	73.7166	0	22.8454
greek51.jpg	486	255	51.0526	0	32.8257	0	21.3383
greek510.jpg	487	254	51.8372	0	50.3964	0	25.6309
greek523.jpg	488	255	45.7982	0	44.1381	0	23.976
greek53.jpg	489	255	51.7151	0	48.5564	0	25.4408
greek55.jpg	490	255	53.5395	0	44.5362	0	23.8368
greek557.jpg	490	255	53.5395	0	44.5362	0	23.8368
greek57.jpg	492	201	51.2146	72	54.4584	20	24.8484
greek58.jpg	493	178	62.9119	84	57.3427	17	25.713
greek6.jpg	494	255	23.8279	0	36.2029	0	29.7621
greek606.jpg	495	255	92.706	0	65.7636	0	22.9545
greek608.jpg	496	255	62.8071	0	54.192	0	22.6409
greek61.jpg	497	245	48.8002	30	55.7467	17	23.5195
greek610.jpg	498	0	81.0429	0	62.4748	0	25.5255
greek611.jpg	499	255	51.7112	0	38.1464	0	35.3288
greek612.jpg	500	0	74.1449	0	61.2757	0	23.2651
greek615.jpg	501	255	37.3782	1	46.8333	8	27.1945
greek62.jpg	502	45	83.5962	43	60.8872	15	24.3316
greek620.jpg	503	0	71.3478	0	62.718	0	22.5588
greek621.jpg	504	255	85.9348	0	28.6981	0	22.8843
greek63.jpg	505	255	70.6413	0	86.9925	0	24.2631
greek64.jpg	506	222	59.0974	62	53.3454	17	25.4221
greek646.jpg	507	255	58.2349	0	74.4824	0	20.4353
greek647.jpg	508	255	72.4805	0	77.5335	0	24.0992
greek648.jpg	509	0	86.4164	0	58.8366	0	24.1371
greek65.jpg	510	1	73.6507	37	56.5093	0	22.2759
greek66.jpg	511	255	70.8235	1	72.9027	14	22.9132
greek67.jpg	512	255	59.2468	0	68.4263	0	24.1138
greek68.jpg	513	255	43.578	0	48.4174	0	24.3629
greek69.jpg	514	255	47.9362	1	57.0584	19	25.6618
greek7.jpg	515	255	37.8239	0	24.6774	0	22.0307
greek70.jpg	516	69	79.682	59	57.8496	11	24.0958
greek71.jpg	517	255	54.8263	0	75.959	0	21.8283
greek72.jpg	518	203	45.5879	85	55.9196	16	21.3091
greek73.jpg	519	249	50.6114	21	59.9929	18	26.5511
greek74.jpg	520	0	67.3191	0	60.2426	0	25.2851
greek75.jpg	521	255	57.2448	0	65.4348	0	24.5211
greek76.jpg	522	255	55.8917	0	63.0976	0	22.6225
greek77.jpg	523	255	36.7124	1	61.3234	14	24.7825
greek78.jpg	524	255	55.3175	0	47.4322	0	25.3481
greek79.jpg	525	42	79.9859	54	62.0658	8	26.745
greek8.jpg	526	255	48.1865	0	40.1476	0	27.0315
greek80.jpg	527	255	52.7855	0	57.1948	0	25.7751
greek81.jpg	528	191	49.9785	67	51.979	23	26.314
greek83.jpg	529	217	41.2193	64	53.6784	22	28.5191
greek84.jpg	530	255	55.5473	4	61.9314	19	23.9629
greek85.jpg	531	73	77.1888	56	58.4057	10	24.5416
greek86.jpg	532	47	66.5428	71	63.0532	12	23.4214
greek87.jpg	533	250	66.0925	7	27.8685	1	101.9476
greek88.jpg	534	231	65.1954	8	36.8832	15	31.9063
greek89.jpg	535	0	82.6078	0	58.0411	0	22.9261
greek9.jpg	536	255	38.0334	0	25.5593	0	20.4093
greek90.jpg	537	254	41.7819	0	24.8732	0	89.9348
greek91.jpg	538	255	51.2055	0	54.2611	0	23.5036
greek92.jpg	539	192	59.7864	30	36.7468	4	74.2042
greek93.jpg	540	255	48.6074	2	24.4421	233	106.4901
greek94.jpg	541	222	56.4632	44	57.6844	15	22.6735
OC359.jpg	541	222	56.4632	44	57.6844	15	22.6735
SpIII21.jpg	543	0	86.3176	0	57.3366	0	25.9726
