filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
18660415161.jpg	100	52	66.2444	46	21.8108	70	66.2827
18660415163.jpg	101	233	77.8344	0	9.5033	0	42.2863
18660415164.jpg	102	236	73.7862	2	11.4482	42	68.6915
1866122827.jpg	103	227	72.272	2	7.7474	70	56.4799
1867020525.jpg	104	246	64.42	5	41.0103	34	63.2395
186702054.jpg	105	220	57.8144	2	6.6588	106	72.5392
186704272.jpg	106	12	49.1965	0	13.8454	0	93.3175
18670508585.jpg	107	247	78.9198	0	8.2955	0	48.3527
18670508635.jpg	108	221	49.193	2	12.464	231	106.1081
186705121.jpg	109	240	63.0837	0	14.263	0	81.073
1867051219.jpg	110	241	62.8148	0	12.6688	0	63.6631
1867051222.jpg	111	181	70.2165	0	10.1619	0	52.7992
1867051224.jpg	112	74	93.3187	60	35.3587	205	74.8812
186708102.jpg	113	49	42.7456	0	41.314	0	25.0522
18671122175.jpg	114	248	56.4122	0	6.2877	0	81.1096
18680110701.jpg	115	247	58.9148	0	10.7461	0	57.3299
18680110707.jpg	116	239	54.2642	0	9.0532	0	83.9344
18680110714.jpg	117	199	55.7397	2	12.3108	170	104.6524
18680110719.jpg	118	236	58.1033	0	11.2148	0	63.7523
18680110723.jpg	119	241	63.4713	0	11.1508	0	82.1358
1868040570.jpg	120	243	57.9287	0	10.0401	0	56.6771
1868040571.jpg	121	243	61.6124	0	10.4464	0	47.9938
186806121847.jpg	122	91	58.4176	67	28.7187	26	85.9071
186806121848.jpg	123	42	52.9869	49	23.6789	161	90.8576
186806121849.jpg	124	48	35.8176	63	23.5957	159	85.9699
186806121851.jpg	125	44	56.3323	62	26.4379	200	97.0825
186806121852.jpg	126	47	49.3006	56	21.4527	162	89.6386
186806121862.jpg	127	213	71.0786	47	23.6978	31	72.7968
186806121865.jpg	128	216	44.5871	44	18.0336	31	18.7886
18680620129.jpg	129	151	64.18	55	37.0624	24	57.6062
186806202.jpg	130	91	60.572	25	54.493	51	53.5356
1868070526.jpg	131	242	65.95	0	11.0585	0	66.2202
1868070532.jpg	132	241	63.69	0	9.289	0	49.0099
1868070534.jpg	133	230	66.9322	3	21.7048	93	51.0331
1868070558.jpg	134	239	67.3938	0	14.3726	0	64.5013
186807056.jpg	135	227	52.3639	0	16.6953	0	92.9189
186807057.jpg	136	246	60.3437	0	9.0595	0	51.5779
1868070570.jpg	137	243	72.3556	0	19.5271	0	69.6348
186807058.jpg	138	242	55.4857	0	4.8701	0	68.5647
1868070584.jpg	139	241	66.4893	0	14.6632	0	56.26
1868070595.jpg	140	246	47.6943	0	14.552	0	49.2387
1868102590.jpg	141	162	70.7736	0	13.1032	0	73.3691
1869060434.jpg	142	137	46.9173	0	8.1559	0	81.735
187001051.jpg	143	244	66.4979	0	8.2775	0	45.9497
187001053.jpg	144	246	59.5348	0	7.5912	0	29.6989
187001054.jpg	145	246	62.2997	0	10.4356	0	49.5099
18700320221.jpg	146	113	77.4589	0	17.7638	0	57.9271
187105061.jpg	147	171	86.8734	56	23.9427	19	88.9047
18710619179.jpg	148	48	46.1737	25	23.809	18	36.0627
18720405117.jpg	149	0	66.3516	0	48.0096	0	21.9615
18720405118.jpg	150	0	69.43	0	50.5918	0	24.0838
18720405121.jpg	151	67	58.6229	69	38.9443	141	61.5245
18720405122.jpg	152	0	64.5516	0	45.6656	0	21.7574
1872070131.jpg	153	108	74.9094	10	32.8759	51	48.1326
1872081611.jpg	154	0	64.1868	0	54.6374	0	22.8114
1872081635.jpg	155	15	97.3907	63	61.373	28	19.3847
1872081647.jpg	156	94	89.7943	40	36.4339	18	27.9636
1872081652.jpg	157	59	92.6332	53	36.8737	17	83.5411
1872081653.jpg	158	0	72.5322	0	60.9541	0	24.0924
