greek_probability,filepath,id
6.45874e-05,./gandhara/191311088.jpg,191311088
0.33118698,./gandhara/196610171.jpg,196610171
4.052672e-06,./gandhara/190004145.jpg,190004145
0.0048815683,./gandhara/1880119.jpg,1880119
0.9511057,./gandhara/194810111.jpg,194810111
0.00014291822,./gandhara/1880196.jpg,1880196
0.7295147,./gandhara/189809135.jpg,189809135
0.0003103784,./gandhara/188809014.jpg,188809014
0.0026252423,./gandhara/1961051910.jpg,1961051910
1.9190713e-05,./gandhara/1913110810.jpg,1913110810
0.016551571,./gandhara/196004115.jpg,196004115
0.00093748793,./gandhara/189008051.jpg,189008051
0.6452154,./gandhara/196610172.jpg,196610172
3.5551302e-06,./gandhara/1880206.jpg,1880206
3.2437667e-05,./gandhara/1961051911.jpg,1961051911
0.0014491926,./gandhara/MAS627.jpg,MAS627
0.0007198196,./gandhara/1902100213.jpg,1902100213
0.0005215525,./gandhara/197006021.jpg,197006021
3.39404e-05,./gandhara/1880175.jpg,1880175
9.523575e-05,./gandhara/195012116.jpg,195012116
3.8574963e-06,./gandhara/197901301.jpg,197901301
0.5947454,./gandhara/1880117.jpg,1880117
8.548228e-05,./gandhara/1880210.jpg,1880210
0.001985989,./gandhara/186806121852.jpg,186806121852
0.00019535274,./gandhara/1902100222.jpg,1902100222
0.040950056,./gandhara/1880172.jpg,1880172
0.0014583507,./gandhara/190004143.jpg,190004143
0.30493233,./gandhara/1917100913.jpg,1917100913
0.6656139,./gandhara/188039.jpg,188039
0.0017372924,./gandhara/194007134.jpg,194007134
0.0013262363,./gandhara/1880227.jpg,1880227
1.6633296e-05,./gandhara/186806121851.jpg,186806121851
3.766725e-05,./gandhara/188606183.jpg,188606183
0.00015280243,./gandhara/1880186.jpg,1880186
0.00023770101,./gandhara/1902100230.jpg,1902100230
0.00012283436,./gandhara/1880104.jpg,1880104
0.81245273,./gandhara/1880188.jpg,1880188
0.6337645,./gandhara/195704291.jpg,195704291
0.00078168965,./gandhara/1899060943.jpg,1899060943
0.00052205013,./gandhara/1880359.jpg,1880359
2.1991124e-05,./gandhara/1902100226.jpg,1902100226
0.0014507206,./gandhara/1887071754.jpg,1887071754
0.0001371905,./gandhara/1880110.jpg,1880110
0.89602923,./gandhara/1880118.jpg,1880118
0.81654227,./gandhara/196305222.jpg,196305222
0.0041461056,./gandhara/189907153.jpg,189907153
0.08258029,./gandhara/188041.jpg,188041
0.00025213938,./gandhara/1902100215.jpg,1902100215
0.18264458,./gandhara/188911091.jpg,188911091
0.7120189,./gandhara/188027.jpg,188027
0.009495624,./gandhara/1880217.jpg,1880217
9.570248e-06,./gandhara/1887071748.jpg,1887071748
0.028827542,./gandhara/188075.jpg,188075
3.118219e-05,./gandhara/196211141.jpg,196211141
0.7588402,./gandhara/1913110821.jpg,1913110821
0.83919597,./gandhara/191901010511.jpg,191901010511
1.3971563e-05,./gandhara/1880112.jpg,1880112
8.167736e-05,./gandhara/186806121865.jpg,186806121865
0.57948935,./gandhara/1917100911.jpg,1917100911
0.18767911,./gandhara/196102181.jpg,196102181
1.5498323e-05,./gandhara/1880185.jpg,1880185
0.00029461677,./gandhara/1902100218.jpg,1902100218
0.014940894,./gandhara/1904121718.jpg,1904121718
0.079878174,./gandhara/1899060953.jpg,1899060953
0.034354735,./gandhara/193503121.jpg,193503121
0.711262,./gandhara/193707151.jpg,193707151
2.6203313e-06,./gandhara/193207091.jpg,193207091
0.035974763,./gandhara/1872070131.jpg,1872070131
1.1114949e-05,./gandhara/188055.jpg,188055
0.00011311836,./gandhara/1880115.jpg,1880115
0.00043243665,./gandhara/1900041412.jpg,1900041412
0.8847551,./gandhara/191901010513.jpg,191901010513
0.0005919396,./gandhara/1902100229.jpg,1902100229
1.7268834e-05,./gandhara/1887071750.jpg,1887071750
0.83762604,./gandhara/1925061920.jpg,1925061920
0.12354075,./gandhara/191901010512.jpg,191901010512
0.83648336,./gandhara/188048.jpg,188048
0.7834611,./gandhara/1880207.jpg,1880207
0.92866707,./gandhara/197906281.jpg,197906281
0.92529094,./gandhara/1902100214.jpg,1902100214
0.0009085114,./gandhara/1899060913.jpg,1899060913
0.8230059,./gandhara/189907151.jpg,189907151
5.4016906e-05,./gandhara/188907035.jpg,188907035
3.1501193e-05,./gandhara/196702215.jpg,196702215
0.002967341,./gandhara/192202111.jpg,192202111
0.00024648206,./gandhara/190005221.jpg,190005221
0.0234698,./gandhara/190210027.jpg,190210027
